artist_name,canonical_key,primary_bucket,secondary_buckets,era_focus,scene_depth,seed_priority,seed_score,confidence,confidence_score,inclusion_rationale,source_basis,source_url,review_flag
&friends,andfriends,Current chart leaders,House; Tech House; Afro House; Deep House; Melodic House & Techno; Progressive House,2020s,Current chart leader / high-signal,1,100,High,3,Pulled from current Beatport/Traxsource chart ecosystems and related release contexts.,Beatportal 2025 House,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
&ME,andme,Current chart leaders,3-step; Afro / Organic / Global House; Afro House; Afro Tech; Amapiano-adjacent; Deep House; House; Indie Dance; Melodic / Progressive House; Melodic House & Techno; Organic House; Progressive House; Tech House; Tribal House; afro house; afro melodic; amapiano-adjacent; arabic/mena; artist projects and aliases useful for matching releases; classic / canonical / global house; organic; tribal,2020s,Current chart leader / high-signal,1,100,High,3,canonical base from prior v1 list; v2 expanded niche coverage; includes long-tail/subgenre/scene signal,Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
009 Sound System,009 sound system,Legacy / Crossover House Reference,House; Euro House; Vocal House; Electro House; Progressive crossover,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
16BL,16bl,Melodic / Progressive House,Indie Dance; Melodic House & Techno; Organic House; Progressive House; melodic / progressive / organic house,2000s-2020s,Core + scene coverage,2,80,Medium,2,"Included for melodic, progressive, cinematic and deeper journey-house coverage.",Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1212753-melodic-house-techno-the-top-selling-tracks-artists-and-labels-of-2025,
187 Lockdown,187 lockdown,UK house / garage / club / bassline,UKG; 2-step; speed garage; bass house; UK funky; club music,1990s-2020s,D_underground_scene_important,3,60,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_house,https://musicbrainz.org/genre/a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,metadata_enrichment_needed
19:26,19 26,melodic house / melodic techno / progressive,Afterlife; Anjunadeep; Diynamic; Innervisions; This Never Happened; progressive house,2010s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,beatport_genres,https://greenroomsupport.beatport.com/hc/en-us/articles/41043520429076-Beatport-Genres-Including-NEW-Open-Format-Genres,metadata_enrichment_needed
"2 Puerto Ricans, a Blackman, and a Dominican",2 puerto ricans a blackman and a dominican,Legacy / Crossover House Reference,House; Euro House; Vocal House; Electro House; Progressive crossover,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
2 Unlimited,2 unlimited,Legacy / Crossover House Reference,House; Euro House; Vocal House; Electro House; Progressive crossover,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
20 Fingers,20 fingers,Legacy / Crossover House Reference,House; Euro House; Vocal House; Electro House; Progressive crossover,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
2562,2562,leftfield / lo-fi / outsider / experimental house,lo-fi house; outsider house; ambient house; broken house; leftfield club,1990s-2020s,E_long_tail_niche_seed,4,40,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,ra_underground,https://www.youredm.com/2016/12/06/resident-advisor-releases-2016-poll-top-djs/,metadata_enrichment_needed
2manydjs,2manydjs,French touch / filter / nu-disco / disco house,filter house; french house; disco edits; nu-disco; artist projects and aliases useful for matching releases,1990s-2020s,D_underground_scene_important,3,60,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_house,https://musicbrainz.org/genre/a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,metadata_enrichment_needed
2woBunnies,2wobunnies,amapiano / 3-step / afro-club adjacent,afro-house adjacency for recommendation bridges,2010s-2020s,F_house_adjacent_expansion,5,25,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_afro,https://musicbrainz.org/genre/07041357-bba4-415f-8b9b-5423ae05f907,metadata_enrichment_needed
3DDY,3ddy,Current chart leaders,House; Tech House; Afro House; Deep House; Melodic House & Techno; Progressive House,2020s,Current chart leader / high-signal,1,100,High,3,Pulled from current Beatport/Traxsource chart ecosystems and related release contexts.,Beatportal 2025 House,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
